age,favorite,roast_level,prefer_overall,gender
<18 years old,Pourover,Light,Coffee B,Other (please specify)
25-34 years old,Regular drip coffee,Medium,Coffee B,Female
45-54 years old,Regular drip coffee,Light,Coffee B,Male
25-34 years old,Pourover,Light,Coffee A,Male
35-44 years old,Iced coffee,Light,Coffee D,Male
45-54 years old,Pourover,Dark,Coffee A,Male
35-44 years old,Cappuccino,Blonde,Coffee A,Male
45-54 years old,Pourover,Light,Coffee D,Male
35-44 years old,Latte,Medium,Coffee D,Male
45-54 years old,Iced coffee,Medium,Coffee D,Male
35-44 years old,Americano,Light,Coffee D,Female
35-44 years old,Espresso,Medium,Coffee C,Male
25-34 years old,Cortado,Dark,Coffee B,Male
35-44 years old,Cold brew,Light,Coffee D,Male
25-34 years old,Cappuccino,Light,Coffee D,Male
35-44 years old,Espresso,Medium,Coffee A,Male
45-54 years old,Americano,Dark,Coffee B,Female
25-34 years old,Cappuccino,Light,Coffee D,Male
45-54 years old,Espresso,Dark,Coffee B,Male
35-44 years old,Latte,Medium,Coffee A,Male
25-34 years old,Latte,Medium,Coffee D,Male
25-34 years old,Iced coffee,Light,Coffee A,Male
25-34 years old,Cappuccino,Light,Coffee D,Male
25-34 years old,Pourover,Light,Coffee A,Male
45-54 years old,Cappuccino,Medium,Coffee D,Male
25-34 years old,Pourover,Light,Coffee D,Male
35-44 years old,Cold brew,Medium,Coffee B,Female
18-24 years old,Pourover,Light,Coffee C,Male
35-44 years old,Espresso,Nordic,Coffee D,Male
25-34 years old,Latte,Medium,Coffee C,Male
25-34 years old,Americano,Dark,Coffee B,Female
25-34 years old,Pourover,Light,Coffee D,Male
25-34 years old,Pourover,Light,Coffee A,Male
25-34 years old,Latte,Light,Coffee D,Male
25-34 years old,Espresso,Medium,Coffee D,Male
35-44 years old,Pourover,Medium,Coffee A,Female
25-34 years old,Iced coffee,Light,Coffee D,Male
25-34 years old,Latte,Medium,Coffee C,Male
25-34 years old,Americano,Light,Coffee C,Male
45-54 years old,Cappuccino,Medium,Coffee A,Male
25-34 years old,Pourover,Light,Coffee D,Male
35-44 years old,Pourover,Light,Coffee D,Male
25-34 years old,Cortado,Medium,Coffee D,Male
25-34 years old,Espresso,Light,Coffee D,Male
18-24 years old,Cold brew,Medium,Coffee C,Male
25-34 years old,Pourover,Light,Coffee D,Male
25-34 years old,Espresso,Medium,Coffee A,Male
35-44 years old,Americano,Medium,Coffee C,Male
25-34 years old,Pourover,Light,Coffee D,Male
25-34 years old,Mocha,Light,Coffee D,Male
25-34 years old,Cappuccino,Light,Coffee B,Female
18-24 years old,Latte,Medium,Coffee B,Male
25-34 years old,Latte,Medium,Coffee A,Female
35-44 years old,Latte,Dark,Coffee C,Female
35-44 years old,Espresso,Light,Coffee A,Male
25-34 years old,Iced coffee,Light,Coffee A,Male
25-34 years old,Regular drip coffee,Dark,Coffee B,Male
25-34 years old,Espresso,Nordic,Coffee A,Male
25-34 years old,Latte,Medium,Coffee A,Male
35-44 years old,Cold brew,Medium,Coffee C,Female
25-34 years old,Cortado,Medium,Coffee B,Male
25-34 years old,Espresso,Light,Coffee B,Male
